
Equipo         : CLASIFICADOR_ESPIRAS_02 
Lugar          : -34.8907, -57.9107      
Descripcion    : Tiro Federal sentido LP 
Fecha Inicio   : 16/12/24 12:51:33       
Archivo        : REG03322.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : LP lenta                
        VIA 2  : LP rapida               
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
13:07:55 1 0 2 105 0159 0.09
13:08:02 1 0 2 071 0489 1.08
13:08:03 1 0 2 075 0537 1.38
13:08:07 1 0 1 063 0475 0.43
13:08:10 1 0 1 073 0431 0.70
13:08:17 1 0 2 080 0491 1.19
13:08:19 1 0 1 072 0456 0.67
13:08:26 1 0 1 066 0488 0.91
13:08:32 1 0 2 103 0469 1.03
13:08:36 1 0 2 091 0485 1.03
13:08:40 1 0 1 059 0488 0.97
13:08:44 1 0 1 060 1262 0.83
13:08:46 1 0 2 064 0538 1.17
13:08:49 1 0 1 061 0456 1.16
13:08:52 1 0 2 073 0488 1.19
13:08:53 1 3 2 000 0000 0.08
13:08:54 1 0 1 060 1185 0.79
13:08:54 1 0 2 067 0460 0.94
13:08:55 1 0 2 065 0478 1.30
13:09:05 1 0 2 072 0480 0.87
13:09:13 1 0 2 075 0459 1.00
13:09:14 1 0 2 074 0422 0.96
13:09:15 1 0 2 083 0453 0.81
13:09:15 1 0 1 054 0497 1.00
13:09:16 1 0 1 056 0450 1.15
13:09:17 1 0 2 076 0446 1.06
13:09:18 1 0 2 072 0501 1.14
13:09:19 1 0 1 059 0499 1.04
13:09:19 1 0 2 078 0491 1.20
13:09:22 1 0 2 088 0508 1.10
13:09:22 1 0 1 064 0461 1.15
13:09:32 1 0 1 062 0568 0.70
13:09:34 1 0 2 070 0491 1.05
13:09:39 1 0 2 070 0575 0.74
13:09:42 1 0 2 089 0484 1.04
13:09:54 1 0 2 070 0447 1.12
13:09:57 1 0 2 075 0468 1.03
13:10:01 1 0 2 080 0471 1.10
13:10:06 1 0 2 072 0521 0.98
13:10:09 1 0 2 075 0460 1.15
13:10:10 1 0 1 051 0473 0.60
13:10:11 1 0 2 071 0538 1.12
13:10:27 1 0 2 064 0513 1.18
13:10:31 1 0 2 087 0470 1.10
13:10:37 1 0 2 102 0442 0.88
13:10:39 1 0 1 048 0633 0.45
13:10:39 1 0 2 080 0471 1.06
13:10:41 1 0 2 087 0498 1.32
13:10:49 1 0 2 081 0675 0.60
13:10:56 1 0 1 059 0494 1.06
13:10:56 1 0 2 077 0519 1.44
13:11:01 1 0 2 069 0500 0.94
13:11:07 1 0 1 055 0125 0.08
13:11:07 1 0 2 092 0511 1.11
13:11:18 1 0 2 079 0335 0.16
13:11:18 1 0 1 077 0301 0.12
13:11:30 1 0 1 052 0415 0.96
13:11:31 1 0 2 091 0577 1.42
13:11:40 1 0 2 086 0567 0.90
13:11:42 1 0 1 064 0411 0.77
13:11:43 1 0 2 083 0465 0.92
13:12:03 1 0 2 091 0463 0.99
13:12:06 1 0 1 061 0492 1.21
13:12:09 1 0 2 080 0492 1.17
13:12:14 1 0 2 081 0519 1.18
13:12:15 1 0 1 084 0429 0.35
13:12:17 1 0 1 064 0498 1.22
13:12:17 1 0 1 064 0563 0.85
13:12:18 1 0 2 069 0440 0.69
13:12:20 1 0 2 072 0433 0.91
13:12:20 1 0 1 071 0512 0.95
13:12:27 1 0 2 078 0516 0.99
13:12:28 1 0 1 087 0137 0.06
13:12:30 1 0 1 080 0449 0.52
13:12:40 1 0 2 081 0507 0.94
13:12:47 1 0 2 087 0470 1.01
13:12:50 1 0 1 043 0470 0.89
13:12:55 1 0 1 059 1259 0.85
13:12:56 1 0 2 092 0528 0.75
13:12:56 1 0 1 068 0358 0.27
13:12:57 1 3 2 000 0000 0.08
13:13:03 1 0 1 059 0493 0.76
13:13:05 1 0 2 075 0841 0.36
13:13:05 1 0 1 072 0531 1.13
13:13:08 1 0 1 079 0575 0.82
13:13:10 1 0 2 079 1181 1.07
13:13:11 1 0 2 079 0491 1.00
13:13:13 1 0 2 081 0502 1.15
13:13:15 1 0 2 088 0445 0.99
13:13:21 1 0 1 054 0463 1.26
13:13:22 1 0 2 074 0451 1.13
13:13:23 1 0 1 059 0463 1.17
13:13:24 1 0 2 082 0466 1.09
13:13:25 1 0 2 081 0586 0.74
13:13:25 1 0 2 081 0685 1.01
13:13:29 1 0 1 068 0473 0.37
13:13:30 1 0 2 083 0535 0.98
13:13:31 1 0 2 085 0444 0.89
13:13:37 1 0 1 059 0396 0.30
13:13:49 1 0 1 061 0495 1.08
13:13:55 1 0 2 088 0481 0.71
13:13:56 1 0 2 087 1227 0.73
13:13:56 1 0 1 055 0485 0.88
13:13:59 1 0 2 085 0472 1.12
13:14:01 1 0 1 061 0537 1.00
13:14:02 1 0 2 109 0545 1.07
13:14:21 1 0 2 071 0481 1.17
13:14:22 1 0 1 055 0422 0.70
13:14:22 1 0 2 070 0457 0.96
13:14:23 1 0 2 073 0444 1.02
13:14:24 1 0 2 075 0462 1.04
13:14:25 1 0 2 075 0424 0.96
13:14:30 1 0 1 060 0507 0.69
13:14:32 1 0 2 070 0471 1.06
13:14:35 1 0 1 060 0487 1.37
13:14:35 1 0 2 076 0486 1.01
13:14:36 1 0 2 076 0474 1.12
13:14:38 1 0 2 082 0569 0.89
13:14:46 1 0 1 072 0552 0.56
13:14:50 1 0 1 059 1165 0.77
13:14:52 1 0 2 056 0538 1.24
13:14:53 1 0 2 071 0131 0.09
13:14:56 1 0 1 052 0473 1.24
13:14:57 1 0 1 052 0448 1.15
13:15:11 1 0 1 065 0500 1.43
13:15:19 1 0 2 096 0600 0.81
13:15:21 1 0 2 084 0500 0.89
13:15:21 1 0 1 064 0477 1.07
13:15:24 1 0 1 056 0503 1.22
13:15:26 1 0 2 067 0508 1.23
13:15:26 1 0 1 055 0464 1.24
13:15:29 1 0 2 084 0449 0.99
13:15:31 1 0 1 060 0473 1.14
13:15:35 1 0 1 053 0471 0.93
13:15:39 1 0 1 073 0487 0.98
13:15:44 1 0 2 084 0496 0.86
13:15:45 1 0 2 075 0351 0.22
13:15:45 1 0 1 074 0263 0.09
13:15:48 1 0 1 077 0500 0.91
13:15:52 1 0 2 090 0495 0.95
13:15:57 1 0 2 060 0826 0.34
13:16:03 1 0 1 076 0425 0.65
13:16:06 1 0 2 081 0512 0.99
13:16:12 1 0 1 073 0465 0.74
13:16:15 1 0 2 094 0537 1.10
13:16:25 1 0 1 069 0473 1.03
13:16:33 1 0 2 059 0620 0.80
13:16:35 1 0 2 061 0466 0.92
13:16:46 1 0 2 080 0415 0.39
13:16:51 1 0 2 097 0546 0.96
13:16:52 1 0 1 066 0108 0.05
13:16:54 1 0 1 063 0445 1.09
13:16:58 1 0 1 073 0484 0.89
13:17:04 1 0 1 071 0460 0.66
13:17:05 1 0 2 094 0503 0.91
13:17:08 1 0 2 083 0812 0.71
13:17:10 1 0 1 066 0105 0.06
13:17:15 1 0 1 067 0525 1.25
13:17:25 1 0 1 085 0495 0.57
13:17:25 1 0 2 073 0531 1.01
13:17:26 1 0 1 081 0392 0.33
